query_id,intent,label
q_01749,Delivery confirmation,relevant
q_01282,Feedback,relevant
q_01630,OSS,irrelevant
q_00293,Language change,relevant
q_01349,Acknowledgment,irrelevant
q_00369,Medical,relevant
q_00214,Spam,irrelevant
q_00681,Medical,relevant
q_00736,Medical,relevant
q_00022,Greeting,irrelevant
q_00982,Automated message,irrelevant
q_01432,Acknowledgment,irrelevant
q_00512,Medical,relevant
q_00682,Medical,relevant
q_00974,Automated message,irrelevant
q_00228,Spam,irrelevant
q_00999,Automated message,irrelevant
q_01587,OSS,irrelevant
q_01292,Acknowledgment,irrelevant
q_00175,Acknowledgment,irrelevant
q_00519,Medical,relevant
q_00304,Language change,relevant
q_00273,Language change,relevant
q_00437,Medical,relevant
q_01204,Acknowledgment,irrelevant
q_01234,Acknowledgment,irrelevant
q_00215,Spam,irrelevant
q_01686,Language change,relevant
q_00059,Other,relevant
q_01194,Feedback,relevant
q_00898,Medical,relevant
q_01563,OSS,irrelevant
q_01472,Acknowledgment,irrelevant
q_00107,Acknowledgment,irrelevant
q_00044,Greeting,irrelevant
q_01371,Acknowledgment,irrelevant
q_01763,Delivery confirmation,relevant
q_00232,Spam,irrelevant
q_00781,Medical,relevant
q_00820,Medical,relevant
q_00525,Medical,relevant
q_01642,OSS,irrelevant
q_01724,Delivery confirmation,relevant
q_00929,Medical,relevant
q_00174,Acknowledgment,irrelevant
q_00006,Greeting,irrelevant
q_01457,Other,relevant
q_00586,Medical,relevant
q_01745,Delivery confirmation,relevant
q_00455,Medical,relevant
q_01294,Acknowledgment,irrelevant
q_00297,Language change,relevant
q_01342,Acknowledgment,irrelevant
q_00667,Medical,relevant
q_00950,Medical,relevant
q_00652,Medical,relevant
q_00740,Medical,relevant
q_01163,Feedback,relevant
q_00934,Medical,relevant
q_01375,Acknowledgment,irrelevant
q_01166,Acknowledgment,irrelevant
q_00931,Medical,relevant
q_00417,Medical,relevant
q_01540,Feedback,relevant
q_01130,Acknowledgment,irrelevant
q_00981,Automated message,irrelevant
q_00731,Medical,relevant
q_00518,Medical,relevant
q_01270,Acknowledgment,irrelevant
q_00668,Medical,relevant
q_01266,Other,relevant
q_00602,Other,relevant
q_00128,Acknowledgment,irrelevant
q_00721,Medical,relevant
q_01645,OSS,irrelevant
q_01276,Acknowledgment,irrelevant
q_00873,Medical,relevant
q_00847,Medical,relevant
q_00964,Medical,relevant
q_01111,Other,relevant
q_00341,Medical,relevant
q_00481,Medical,relevant
q_00355,Medical,relevant
q_00978,Automated message,irrelevant
q_00074,Greeting,irrelevant
q_00866,Medical,relevant
q_00637,Medical,relevant
q_01271,Acknowledgment,irrelevant
