query_id,intent,label,space,nearest_distance,label_agreement_k15
q_01749,Delivery confirmation,relevant,A,0.29888046,0.9333333333333333
q_01282,Feedback,relevant,A,0.5787263,0.13333333333333333
q_01630,OSS,irrelevant,A,0.46673244,0.9333333333333333
q_00293,Language change,relevant,A,0.07655287,1.0
q_01349,Acknowledgment,irrelevant,A,0.040165782,1.0
q_00369,Medical,relevant,A,0.25527346,0.9333333333333333
q_00214,Spam,irrelevant,A,0.42806304,0.2
q_00681,Medical,relevant,A,0.11521256,1.0
q_00736,Medical,relevant,A,0.33232087,1.0
q_00022,Greeting,irrelevant,A,0.097853065,0.8666666666666667
q_00982,Automated message,irrelevant,A,0.357342,0.8666666666666667
q_01432,Acknowledgment,irrelevant,A,0.09812498,1.0
q_00512,Medical,relevant,A,0.35925126,1.0
q_00682,Medical,relevant,A,0.3994357,0.9333333333333333
q_00974,Automated message,irrelevant,A,0.30390608,0.9333333333333333
q_00228,Spam,irrelevant,A,0.56069934,0.5333333333333333
q_00999,Automated message,irrelevant,A,0.5185417,0.7333333333333333
q_01587,OSS,irrelevant,A,0.20408738,0.06666666666666667
q_01292,Acknowledgment,irrelevant,A,0.2624452,0.5333333333333333
q_00175,Acknowledgment,irrelevant,A,0.03424108,0.9333333333333333
q_00519,Medical,relevant,A,0.2239722,0.8666666666666667
q_00304,Language change,relevant,A,0.14477432,0.9333333333333333
q_00273,Language change,relevant,A,0.05501294,1.0
q_00437,Medical,relevant,A,0.3371439,1.0
q_01204,Acknowledgment,irrelevant,A,0.18228436,1.0
q_01234,Acknowledgment,irrelevant,A,0.20584333,0.8
q_00215,Spam,irrelevant,A,0.5287428,0.26666666666666666
q_01686,Language change,relevant,A,0.13551575,0.8666666666666667
q_00059,Other,relevant,A,0.3857931,0.13333333333333333
q_01194,Feedback,relevant,A,0.3111151,1.0
q_00898,Medical,relevant,A,0.38610983,1.0
q_01563,OSS,irrelevant,A,0.34703672,0.4666666666666667
q_01472,Acknowledgment,irrelevant,A,0.09041357,0.26666666666666666
q_00107,Acknowledgment,irrelevant,A,0.15634716,0.4
q_00044,Greeting,irrelevant,A,0.23777682,0.26666666666666666
q_01371,Acknowledgment,irrelevant,A,0.067367435,0.8666666666666667
q_01763,Delivery confirmation,relevant,A,0.037516415,0.4666666666666667
q_00232,Spam,irrelevant,A,0.5297236,0.6666666666666666
q_00781,Medical,relevant,A,0.19686413,1.0
q_00820,Medical,relevant,A,0.44190705,1.0
q_00525,Medical,relevant,A,0.13440168,0.9333333333333333
q_01642,OSS,irrelevant,A,0.33224815,0.4666666666666667
q_01724,Delivery confirmation,relevant,A,0.26048988,0.5333333333333333
q_00929,Medical,relevant,A,0.17102993,0.8
q_00174,Acknowledgment,irrelevant,A,0.013348341,0.9333333333333333
q_00006,Greeting,irrelevant,A,0.1708268,0.4666666666666667
q_01457,Other,relevant,A,0.14180422,0.6
q_00586,Medical,relevant,A,0.35954857,0.8
q_01745,Delivery confirmation,relevant,A,0.11798096,0.4666666666666667
q_00455,Medical,relevant,A,0.6542188,0.9333333333333333
q_01294,Acknowledgment,irrelevant,A,0.22882915,0.8666666666666667
q_00297,Language change,relevant,A,0.18551344,1.0
q_01342,Acknowledgment,irrelevant,A,0.083369434,0.7333333333333333
q_00667,Medical,relevant,A,0.31619322,1.0
q_00950,Medical,relevant,A,0.49352008,0.8
q_00652,Medical,relevant,A,0.288346,0.9333333333333333
q_00740,Medical,relevant,A,0.46712357,1.0
q_01163,Feedback,relevant,A,0.23865187,0.2
q_00934,Medical,relevant,A,0.34611362,1.0
q_01375,Acknowledgment,irrelevant,A,0.12951589,0.26666666666666666
q_01166,Acknowledgment,irrelevant,A,0.048683643,1.0
q_00931,Medical,relevant,A,0.4715678,0.8666666666666667
q_00417,Medical,relevant,A,0.011525989,0.5333333333333333
q_01540,Feedback,relevant,A,0.16412067,0.8666666666666667
q_01130,Acknowledgment,irrelevant,A,0.12760675,1.0
q_00981,Automated message,irrelevant,A,0.09081006,0.6666666666666666
q_00731,Medical,relevant,A,0.4111833,1.0
q_00518,Medical,relevant,A,0.17014933,1.0
q_01270,Acknowledgment,irrelevant,A,0.2168327,1.0
q_00668,Medical,relevant,A,0.28237194,1.0
q_01266,Other,relevant,A,0.35659695,0.3333333333333333
q_00602,Other,relevant,A,0.37542355,0.7333333333333333
q_00128,Acknowledgment,irrelevant,A,0.15489686,0.6666666666666666
q_00721,Medical,relevant,A,0.21226048,1.0
q_01645,OSS,irrelevant,A,0.2587958,0.6
q_01276,Acknowledgment,irrelevant,A,0.053781748,1.0
q_00873,Medical,relevant,A,0.19086885,0.8
q_00847,Medical,relevant,A,0.25895047,1.0
q_00964,Medical,relevant,A,0.037548482,0.6666666666666666
q_01111,Other,relevant,A,0.28611565,0.4
q_00341,Medical,relevant,A,0.34270006,0.7333333333333333
q_00481,Medical,relevant,A,0.35483855,0.9333333333333333
q_00355,Medical,relevant,A,0.011525989,0.5333333333333333
q_00978,Automated message,irrelevant,A,0.24671221,0.6
q_00074,Greeting,irrelevant,A,0.0872736,0.5333333333333333
q_00866,Medical,relevant,A,0.22956836,0.6666666666666666
q_00637,Medical,relevant,A,0.46828842,0.4666666666666667
q_01271,Acknowledgment,irrelevant,A,0.27210963,1.0
q_01476,Feedback,relevant,A,0.39105463,0.8
q_00643,Medical,relevant,A,0.25047052,1.0
q_01037,Other,relevant,A,0.2487998,0.3333333333333333
q_00199,Other,relevant,A,0.11091399,0.3333333333333333
q_00479,Medical,relevant,A,0.5645802,1.0
q_00495,Medical,relevant,A,0.17014933,1.0
q_00609,Medical,relevant,A,0.34472328,0.9333333333333333
q_01403,Acknowledgment,irrelevant,A,0.035656095,0.6666666666666666
q_00207,Acknowledgment,irrelevant,A,0.1663127,0.3333333333333333
q_01584,OSS,irrelevant,A,0.3537395,0.2
q_00169,Acknowledgment,irrelevant,A,0.31082368,0.8
q_01657,OSS,irrelevant,A,0.1194033,0.5333333333333333
q_00564,Medical,relevant,A,0.27844608,0.8666666666666667
q_00434,Medical,relevant,A,0.20878935,1.0
q_00236,Language change,relevant,A,0.08155942,0.6
q_00382,Medical,relevant,A,0.20146453,0.7333333333333333
q_01431,Acknowledgment,irrelevant,A,0.032161117,1.0
q_01373,Feedback,relevant,A,0.2890491,0.26666666666666666
q_00359,Medical,relevant,A,0.33921403,0.8666666666666667
q_01801,Date,relevant,A,0.093143344,1.0
q_01776,Delivery confirmation,relevant,A,0.2976694,0.6666666666666666
q_01198,Acknowledgment,irrelevant,A,0.42988598,0.9333333333333333
q_01315,Feedback,relevant,A,0.21402943,1.0
q_00398,Medical,relevant,A,0.26794505,0.8666666666666667
q_01453,Acknowledgment,irrelevant,A,0.112752855,0.26666666666666666
q_00195,Acknowledgment,irrelevant,A,0.14686155,0.9333333333333333
q_01092,Other,relevant,A,0.29296696,0.6
q_01455,Acknowledgment,irrelevant,A,0.21983021,0.26666666666666666
q_01705,Language change,relevant,A,0.05501294,1.0
q_01655,OSS,irrelevant,A,0.18243617,0.4666666666666667
q_00685,Medical,relevant,A,0.2751513,1.0
q_00990,Automated message,irrelevant,A,0.29865474,1.0
q_00177,Other,relevant,A,0.03625381,0.4
q_01695,Language change,relevant,A,0.026864648,0.13333333333333333
q_01098,Other,relevant,A,0.07004315,0.4
q_00942,Medical,relevant,A,0.14781189,1.0
q_00793,Medical,relevant,A,0.5247737,1.0
q_00435,Medical,relevant,A,0.11125803,0.9333333333333333
q_00008,Greeting,irrelevant,A,0.10849571,0.26666666666666666
q_00472,Medical,relevant,A,0.26579654,0.0
q_01634,OSS,irrelevant,A,0.33433366,0.13333333333333333
q_01338,Acknowledgment,irrelevant,A,0.019110203,0.9333333333333333
q_00855,Medical,relevant,A,0.28392315,0.8666666666666667
q_00172,Acknowledgment,irrelevant,A,0.12760675,0.9333333333333333
q_00547,Medical,relevant,A,0.040599942,0.6666666666666666
q_01478,Feedback,relevant,A,0.20728755,0.2
q_01615,OSS,irrelevant,A,0.21709341,0.06666666666666667
q_01329,Acknowledgment,irrelevant,A,0.23730147,1.0
q_01551,OSS,irrelevant,A,0.47017008,0.4666666666666667
