member,Mac_metadata,extracted_exists,matches
intent-classification-assignment/train_embeddings_a.npy,False,True,True
intent-classification-assignment/label_mapping.json,False,True,True
intent-classification-assignment/train_embeddings_b.npy,False,True,True
intent-classification-assignment/train_queries.csv,False,True,True
intent-classification-assignment/train_embeddings_c.npy,False,True,True
intent-classification-assignment/.DS_Store,True,True,True
__MACOSX/intent-classification-assignment/._.DS_Store,True,False,False
intent-classification-assignment/README.md,False,True,True
__MACOSX/intent-classification-assignment/._README.md,True,False,False
intent-classification-assignment/llm_baseline_test_predictions.json,False,True,True
__MACOSX/intent-classification-assignment/._llm_baseline_test_predictions.json,True,False,False
intent-classification-assignment/test_embeddings_a.npy,False,True,True
intent-classification-assignment/test_embeddings_c.npy,False,True,True
intent-classification-assignment/test_embeddings_b.npy,False,True,True
intent-classification-assignment/llm_baseline_train_predictions.json,False,True,True
intent-classification-assignment/manifest.json,False,True,True
intent-classification-assignment/test_queries.csv,False,True,True
