split_level,outer_fold,inner_fold,role,row_index,query_id,group_id,truth,label,intent
outer,0,,train,0,q_01749,g0000,1,relevant,Delivery confirmation
outer,0,,train,1,q_01282,g0001,1,relevant,Feedback
outer,0,,train,2,q_01630,g0002,0,irrelevant,OSS
outer,0,,train,3,q_00293,g0003,1,relevant,Language change
outer,0,,train,4,q_01349,g0004,0,irrelevant,Acknowledgment
outer,0,,train,5,q_00369,g0005,1,relevant,Medical
outer,0,,train,6,q_00214,g0006,0,irrelevant,Spam
outer,0,,train,7,q_00681,g0007,1,relevant,Medical
outer,0,,train,9,q_00022,g0009,0,irrelevant,Greeting
outer,0,,train,10,q_00982,g0010,0,irrelevant,Automated message
outer,0,,train,11,q_01432,g0011,0,irrelevant,Acknowledgment
outer,0,,train,12,q_00512,g0012,1,relevant,Medical
outer,0,,train,13,q_00682,g0013,1,relevant,Medical
outer,0,,train,14,q_00974,g0014,0,irrelevant,Automated message
outer,0,,train,15,q_00228,g0015,0,irrelevant,Spam
outer,0,,train,16,q_00999,g0016,0,irrelevant,Automated message
outer,0,,train,17,q_01587,g0017,0,irrelevant,OSS
outer,0,,train,18,q_01292,g0018,0,irrelevant,Acknowledgment
outer,0,,train,19,q_00175,g0019,0,irrelevant,Acknowledgment
outer,0,,train,20,q_00519,g0020,1,relevant,Medical
outer,0,,train,21,q_00304,g0021,1,relevant,Language change
outer,0,,train,22,q_00273,g0022,1,relevant,Language change
outer,0,,train,23,q_00437,g0023,1,relevant,Medical
outer,0,,train,25,q_01234,g0025,0,irrelevant,Acknowledgment
outer,0,,train,26,q_00215,g0026,0,irrelevant,Spam
outer,0,,train,27,q_01686,g0027,1,relevant,Language change
outer,0,,train,28,q_00059,g0028,1,relevant,Other
outer,0,,train,29,q_01194,g0029,1,relevant,Feedback
outer,0,,train,30,q_00898,g0030,1,relevant,Medical
outer,0,,train,31,q_01563,g0031,0,irrelevant,OSS
outer,0,,train,32,q_01472,g0032,0,irrelevant,Acknowledgment
outer,0,,train,34,q_00044,g0034,0,irrelevant,Greeting
outer,0,,train,35,q_01371,g0035,0,irrelevant,Acknowledgment
outer,0,,train,36,q_01763,g0036,1,relevant,Delivery confirmation
