query_id,intent,label,duplicate_group
q_01749,Delivery confirmation,relevant,0
q_01282,Feedback,relevant,1
q_01630,OSS,irrelevant,2
q_00293,Language change,relevant,3
q_01349,Acknowledgment,irrelevant,4
q_00369,Medical,relevant,5
q_00214,Spam,irrelevant,6
q_00681,Medical,relevant,7
q_00736,Medical,relevant,8
q_00022,Greeting,irrelevant,9
q_00982,Automated message,irrelevant,10
q_01432,Acknowledgment,irrelevant,11
q_00512,Medical,relevant,12
q_00682,Medical,relevant,13
q_00974,Automated message,irrelevant,14
q_00228,Spam,irrelevant,15
q_00999,Automated message,irrelevant,16
q_01587,OSS,irrelevant,17
q_01292,Acknowledgment,irrelevant,18
q_00175,Acknowledgment,irrelevant,19
q_00519,Medical,relevant,20
q_00304,Language change,relevant,21
q_00273,Language change,relevant,22
q_00437,Medical,relevant,23
q_01204,Acknowledgment,irrelevant,24
q_01234,Acknowledgment,irrelevant,25
q_00215,Spam,irrelevant,26
q_01686,Language change,relevant,27
q_00059,Other,relevant,28
q_01194,Feedback,relevant,29
q_00898,Medical,relevant,30
q_01563,OSS,irrelevant,31
q_01472,Acknowledgment,irrelevant,32
q_00107,Acknowledgment,irrelevant,33
q_00044,Greeting,irrelevant,34
q_01371,Acknowledgment,irrelevant,35
q_01763,Delivery confirmation,relevant,36
q_00232,Spam,irrelevant,37
q_00781,Medical,relevant,38
q_00820,Medical,relevant,39
q_00525,Medical,relevant,40
q_01642,OSS,irrelevant,41
q_01724,Delivery confirmation,relevant,42
q_00929,Medical,relevant,43
q_00174,Acknowledgment,irrelevant,44
q_00006,Greeting,irrelevant,45
q_01457,Other,relevant,46
q_00586,Medical,relevant,47
q_01745,Delivery confirmation,relevant,48
q_00455,Medical,relevant,49
q_01294,Acknowledgment,irrelevant,50
q_00297,Language change,relevant,51
q_01342,Acknowledgment,irrelevant,52
q_00667,Medical,relevant,53
q_00950,Medical,relevant,54
q_00652,Medical,relevant,55
q_00740,Medical,relevant,56
q_01163,Feedback,relevant,57
q_00934,Medical,relevant,58
q_01375,Acknowledgment,irrelevant,59
q_01166,Acknowledgment,irrelevant,60
q_00931,Medical,relevant,61
q_00417,Medical,relevant,62
q_01540,Feedback,relevant,63
q_01130,Acknowledgment,irrelevant,64
q_00981,Automated message,irrelevant,65
q_00731,Medical,relevant,66
q_00518,Medical,relevant,67
q_01270,Acknowledgment,irrelevant,68
q_00668,Medical,relevant,69
q_01266,Other,relevant,70
q_00602,Other,relevant,71
q_00128,Acknowledgment,irrelevant,72
q_00721,Medical,relevant,73
q_01645,OSS,irrelevant,74
q_01276,Acknowledgment,irrelevant,75
q_00873,Medical,relevant,76
q_00847,Medical,relevant,77
q_00964,Medical,relevant,78
q_01111,Other,relevant,79
q_00341,Medical,relevant,80
q_00481,Medical,relevant,81
q_00355,Medical,relevant,82
q_00978,Automated message,irrelevant,83
q_00074,Greeting,irrelevant,84
q_00866,Medical,relevant,85
q_00637,Medical,relevant,86
q_01271,Acknowledgment,irrelevant,87
q_01476,Feedback,relevant,88
q_00643,Medical,relevant,89
q_01037,Other,relevant,90
q_00199,Other,relevant,91
q_00479,Medical,relevant,92
q_00495,Medical,relevant,93
q_00609,Medical,relevant,94
q_01403,Acknowledgment,irrelevant,95
q_00207,Acknowledgment,irrelevant,96
q_01584,OSS,irrelevant,97
q_00169,Acknowledgment,irrelevant,98
q_01657,OSS,irrelevant,99
q_00564,Medical,relevant,100
q_00434,Medical,relevant,101
q_00236,Language change,relevant,102
q_00382,Medical,relevant,103
q_01431,Acknowledgment,irrelevant,104
q_01373,Feedback,relevant,105
q_00359,Medical,relevant,106
q_01801,Date,relevant,107
q_01776,Delivery confirmation,relevant,108
q_01198,Acknowledgment,irrelevant,109
q_01315,Feedback,relevant,110
q_00398,Medical,relevant,111
q_01453,Acknowledgment,irrelevant,112
q_00195,Acknowledgment,irrelevant,113
q_01092,Other,relevant,114
q_01455,Acknowledgment,irrelevant,115
q_01705,Language change,relevant,116
q_01655,OSS,irrelevant,117
q_00685,Medical,relevant,118
q_00990,Automated message,irrelevant,119
q_00177,Other,relevant,120
q_01695,Language change,relevant,121
q_01098,Other,relevant,122
q_00942,Medical,relevant,123
q_00793,Medical,relevant,124
q_00435,Medical,relevant,125
q_00008,Greeting,irrelevant,126
q_00472,Medical,relevant,127
q_01634,OSS,irrelevant,128
q_01338,Acknowledgment,irrelevant,129
q_00855,Medical,relevant,130
q_00172,Acknowledgment,irrelevant,131
q_00547,Medical,relevant,132
q_01478,Feedback,relevant,133
q_01615,OSS,irrelevant,134
q_01329,Acknowledgment,irrelevant,135
q_01551,OSS,irrelevant,136
q_00115,Acknowledgment,irrelevant,137
q_01796,Date,relevant,138
q_01286,Acknowledgment,irrelevant,139
q_00464,Medical,relevant,140
q_00148,Acknowledgment,irrelevant,141
