query_id,intent,label,predicted_intent,predicted_label,correct_routing,error_type
q_01587,OSS,irrelevant,Medical,relevant,False,unnecessary referral (FP)
q_00059,Other,relevant,Acknowledgment,irrelevant,False,missed relevant (FN)
q_01194,Feedback,relevant,Acknowledgment,irrelevant,False,missed relevant (FN)
q_00602,Other,relevant,Abuse,irrelevant,False,missed relevant (FN)
q_01453,Acknowledgment,irrelevant,Feedback,relevant,False,unnecessary referral (FP)
q_01092,Other,relevant,Greeting,irrelevant,False,missed relevant (FN)
q_01332,Acknowledgment,irrelevant,Feedback,relevant,False,unnecessary referral (FP)
q_01598,OSS,irrelevant,Medical,relevant,False,unnecessary referral (FP)
q_01662,OSS,irrelevant,Feedback,relevant,False,unnecessary referral (FP)
q_01602,Other,relevant,OSS,irrelevant,False,missed relevant (FN)
q_01341,Acknowledgment,irrelevant,Other,relevant,False,unnecessary referral (FP)
q_01077,Other,relevant,Unsubscribe,irrelevant,False,missed relevant (FN)
q_01305,Acknowledgment,irrelevant,Feedback,relevant,False,unnecessary referral (FP)
q_01309,Acknowledgment,irrelevant,Other,relevant,False,unnecessary referral (FP)
q_01429,Acknowledgment,irrelevant,Feedback,relevant,False,unnecessary referral (FP)
q_00188,Acknowledgment,irrelevant,Other,relevant,False,unnecessary referral (FP)
q_01376,OSS,irrelevant,Other,relevant,False,unnecessary referral (FP)
q_01379,Acknowledgment,irrelevant,Other,relevant,False,unnecessary referral (FP)
q_01484,Feedback,relevant,Unsubscribe,irrelevant,False,missed relevant (FN)
